日期,贵州茅台
2024-01-02,1578.69
2024-01-03,1587.68
2024-01-04,1562.68
2024-01-05,1557.04
2024-01-08,1537.67
2024-01-09,1534.68
2024-01-10,1535.18
2024-01-11,1540.25
2024-01-12,1536.74
2024-01-15,1533.68
2024-01-16,1533.11
2024-01-17,1470.68
2024-01-18,1504.55
2024-01-19,1528.68
2024-01-22,1535.68
2024-01-23,1512.68
2024-01-24,1519.68
2024-01-25,1531.68
2024-01-26,1531.0
2024-01-29,1543.68
2024-01-30,1506.68
2024-01-31,1498.59
2024-02-01,1503.71
2024-02-02,1489.68
2024-02-05,1523.69
2024-02-06,1569.68
2024-02-07,1604.67
2024-02-08,1599.68
2024-02-19,1589.11
2024-02-20,1563.68
2024-02-21,1611.34
2024-02-22,1612.06
2024-02-23,1607.77
2024-02-26,1588.66
2024-02-27,1583.18
2024-02-28,1575.23
2024-02-29,1588.68
2024-03-01,1578.74
2024-03-04,1569.98
2024-03-05,1588.78
2024-03-06,1574.23
2024-03-07,1577.31
2024-03-08,1565.11
2024-03-11,1588.17
2024-03-12,1638.68
2024-03-13,1621.13
2024-03-14,1610.31
2024-03-15,1611.17
2024-03-18,1601.94
2024-03-19,1601.7
2024-03-20,1603.28
2024-03-21,1602.68
2024-03-22,1595.03
2024-03-25,1582.69
2024-03-26,1602.97
2024-03-27,1594.68
2024-03-28,1595.32
2024-03-29,1596.58
2024-04-01,1615.01
2024-04-02,1607.67
2024-04-03,1608.79
2024-04-08,1560.34
2024-04-09,1555.9
2024-04-10,1541.66
2024-04-11,1541.68
2024-04-12,1527.71
2024-04-15,1566.66
2024-04-16,1563.68
2024-04-17,1560.68
2024-04-18,1564.46
2024-04-19,1540.32
2024-04-22,1568.74
2024-04-23,1585.96
2024-04-24,1587.28
2024-04-25,1586.72
2024-04-26,1603.11
2024-04-29,1597.68
2024-04-30,1598.68
2024-05-06,1653.88
2024-05-07,1663.68
2024-05-08,1657.65
2024-05-09,1649.68
2024-05-10,1632.66
2024-05-13,1599.68
2024-05-14,1595.66
2024-05-15,1593.68
2024-05-16,1598.18
2024-05-17,1608.68
2024-05-20,1602.68
2024-05-21,1598.68
2024-05-22,1591.39
2024-05-23,1585.69
2024-05-24,1570.76
2024-05-27,1563.8
2024-05-28,1558.32
2024-05-29,1567.68
2024-05-30,1542.68
2024-05-31,1542.13
2024-06-03,1533.07
2024-06-04,1546.88
2024-06-05,1537.68
2024-06-06,1533.49
2024-06-07,1512.86
2024-06-11,1462.68
2024-06-12,1465.36
2024-06-13,1448.69
2024-06-14,1448.68
2024-06-17,1435.18
2024-06-18,1415.18
2024-06-19,1425.56
2024-06-20,1424.66
2024-06-21,1395.56
2024-06-24,1401.11
2024-06-25,1411.21
2024-06-26,1413.78
2024-06-27,1415.05
2024-06-28,1391.95
2024-07-01,1364.94
2024-07-02,1415.26
2024-07-03,1424.56
2024-07-04,1410.3
2024-07-05,1377.56
2024-07-08,1344.56
2024-07-09,1362.59
2024-07-10,1362.15
2024-07-11,1386.65
2024-07-12,1403.38
2024-07-15,1399.46
2024-07-16,1400.56
2024-07-17,1425.96
2024-07-18,1422.07
2024-07-19,1450.18
2024-07-22,1423.56
2024-07-23,1379.56
2024-07-24,1364.58
2024-07-25,1355.05
2024-07-26,1346.75
2024-07-29,1322.58
2024-07-30,1304.55
2024-07-31,1345.84
2024-08-01,1310.72
2024-08-02,1310.01
2024-08-05,1334.57
2024-08-06,1329.26
2024-08-07,1340.06
2024-08-08,1355.25
2024-08-09,1361.36
2024-08-12,1360.66
2024-08-13,1347.57
2024-08-14,1337.86
2024-08-15,1351.45
2024-08-16,1355.76
2024-08-19,1350.0
2024-08-20,1347.28
2024-08-21,1342.14
2024-08-22,1334.61
2024-08-23,1339.55
2024-08-26,1336.56
2024-08-27,1328.63
2024-08-28,1313.56
2024-08-29,1337.86
2024-08-30,1367.75
2024-09-02,1319.56
2024-09-03,1334.56
2024-09-04,1324.56
2024-09-05,1329.44
2024-09-06,1322.56
2024-09-09,1299.56
2024-09-10,1302.56
2024-09-11,1304.56
2024-09-12,1259.62
2024-09-13,1228.69
2024-09-18,1191.46
2024-09-19,1185.56
2024-09-20,1188.48
2024-09-23,1186.1
2024-09-24,1297.16
2024-09-25,1323.56
2024-09-26,1453.56
2024-09-27,1553.76
2024-09-30,1672.56
2024-10-08,1647.56
2024-10-09,1519.71
2024-10-10,1564.56
2024-10-11,1529.55
2024-10-14,1526.55
2024-10-15,1478.81
2024-10-16,1447.06
2024-10-17,1419.16
2024-10-18,1465.56
2024-10-21,1453.36
2024-10-22,1467.56
2024-10-23,1492.06
2024-10-24,1476.76
2024-10-25,1483.41
2024-10-28,1489.56
2024-10-29,1456.18
2024-10-30,1456.56
2024-10-31,1452.35
2024-11-01,1458.31
2024-11-04,1472.76
2024-11-05,1501.55
2024-11-06,1495.56
2024-11-07,1573.7
2024-11-08,1534.53
2024-11-11,1522.57
2024-11-12,1501.76
2024-11-13,1503.06
2024-11-14,1498.36
2024-11-15,1483.56
2024-11-18,1483.56
2024-11-19,1466.48
2024-11-20,1469.37
2024-11-21,1469.69
2024-11-22,1432.38
2024-11-25,1423.13
2024-11-26,1433.56
2024-11-27,1443.61
2024-11-28,1442.56
2024-11-29,1450.3
2024-12-02,1449.56
2024-12-03,1451.3
2024-12-04,1444.56
2024-12-05,1435.56
2024-12-06,1445.57
2024-12-09,1443.36
2024-12-10,1471.15
2024-12-11,1460.16
2024-12-12,1490.36
2024-12-13,1443.56
2024-12-16,1451.76
2024-12-17,1482.56
2024-12-18,1496.06
2024-12-19,1475.57
2024-12-20,1470.44
2024-12-23,1474.89
2024-12-24,1487.26
2024-12-25,1478.44
2024-12-26,1476.23
2024-12-27,1477.41
2024-12-30,1473.44
2024-12-31,1472.44
2025-01-02,1436.44
2025-01-03,1423.44
2025-01-06,1388.44
2025-01-07,1388.64
2025-01-08,1390.94
2025-01-09,1392.44
2025-01-10,1384.44
2025-01-13,1392.42
2025-01-14,1420.94
2025-01-15,1419.71
2025-01-16,1394.82
2025-01-17,1403.19
2025-01-20,1423.24
2025-01-21,1416.59
2025-01-22,1389.44
2025-01-23,1391.44
2025-01-24,1384.44
2025-01-27,1383.43
2025-02-05,1352.24
2025-02-06,1361.28
2025-02-07,1384.44
2025-02-10,1379.95
2025-02-11,1366.44
2025-02-12,1391.44
2025-02-13,1413.5
2025-02-14,1423.44
2025-02-17,1420.06
2025-02-18,1423.44
2025-02-19,1439.44
2025-02-20,1422.44
2025-02-21,1436.65
2025-02-24,1427.51
2025-02-25,1402.44
2025-02-26,1408.45
2025-02-27,1434.0
2025-02-28,1449.23
2025-03-03,1435.46
2025-03-04,1418.55
2025-03-05,1414.81
2025-03-06,1454.42
2025-03-07,1469.44
2025-03-10,1471.34
2025-03-11,1497.12
2025-03-12,1491.02
2025-03-13,1486.21
2025-03-14,1576.45
2025-03-17,1586.3
2025-03-18,1572.44
2025-03-19,1584.15
2025-03-20,1552.44
2025-03-21,1522.19
2025-03-24,1531.44
2025-03-25,1523.94
2025-03-26,1524.44
2025-03-27,1537.44
2025-03-28,1533.65
2025-03-31,1509.44
2025-04-01,1504.46
2025-04-02,1497.46
2025-04-03,1517.32
2025-04-07,1448.44
2025-04-08,1493.44
2025-04-09,1489.48
2025-04-10,1497.44
2025-04-11,1517.42
2025-04-14,1500.43
2025-04-15,1506.44
2025-04-16,1507.61
2025-04-17,1518.44
2025-04-18,1514.38
2025-04-21,1499.44
2025-04-22,1497.24
2025-04-23,1500.44
2025-04-24,1500.69
2025-04-25,1498.44
2025-04-28,1498.44
2025-04-29,1492.44
2025-04-30,1495.44
2025-05-06,1498.64
2025-05-07,1503.44
2025-05-08,1526.63
2025-05-09,1539.62
2025-05-12,1552.94
2025-05-13,1538.74
2025-05-14,1583.43
2025-05-15,1580.45
2025-05-16,1562.57
2025-05-19,1527.42
2025-05-20,1534.44
2025-05-21,1529.41
2025-05-22,1528.44
2025-05-23,1521.04
2025-05-26,1498.94
2025-05-27,1492.34
2025-05-28,1485.44
2025-05-29,1488.44
2025-05-30,1470.44
2025-06-03,1457.44
2025-06-04,1458.4
2025-06-05,1462.44
2025-06-06,1454.83
2025-06-09,1434.55
2025-06-10,1423.45
2025-06-11,1428.44
2025-06-12,1407.44
2025-06-13,1375.39
2025-06-16,1370.73
2025-06-17,1375.44
2025-06-18,1373.44
2025-06-19,1374.44
2025-06-20,1377.1
2025-06-23,1368.44
2025-06-24,1385.64
2025-06-25,1384.3
2025-06-26,1396.04
2025-06-27,1379.13
2025-06-30,1385.56
2025-07-01,1381.14
2025-07-02,1385.64
2025-07-03,1391.64
2025-07-04,1398.26
2025-07-07,1386.74
2025-07-08,1392.15
2025-07-09,1394.92
2025-07-10,1402.54
2025-07-11,1403.04
2025-07-14,1399.64
2025-07-15,1387.04
2025-07-16,1387.07
2025-07-17,1392.39
2025-07-18,1413.04
2025-07-21,1419.04
2025-07-22,1441.02
2025-07-23,1451.54
2025-07-24,1467.54
2025-07-25,1431.04
2025-07-28,1414.7
2025-07-29,1415.04
2025-07-30,1425.48
2025-07-31,1397.71
2025-08-01,1393.04
2025-08-04,1395.04
2025-08-05,1403.78
2025-08-06,1399.92
2025-08-07,1398.39
2025-08-08,1397.01
2025-08-11,1421.04
2025-08-12,1413.08
2025-08-13,1396.09
2025-08-14,1403.03
2025-08-15,1398.12
2025-08-18,1404.54
2025-08-19,1414.04
2025-08-20,1426.04
2025-08-21,1424.29
2025-08-22,1439.99
2025-08-25,1466.37
2025-08-26,1457.65
2025-08-27,1424.04
2025-08-28,1422.14
2025-08-29,1456.04
2025-09-01,1452.14
2025-09-02,1467.34
2025-09-03,1456.59
2025-09-04,1448.7
2025-09-05,1459.04
2025-09-08,1477.27
2025-09-09,1481.04
2025-09-10,1498.05
2025-09-11,1499.54
2025-09-12,1492.04
2025-09-15,1491.14
2025-09-16,1476.02
2025-09-17,1469.04
2025-09-18,1444.0
2025-09-19,1444.01
2025-09-22,1429.39
2025-09-23,1423.46
2025-09-24,1418.04
2025-09-25,1415.04
2025-09-26,1411.04
2025-09-29,1436.9
2025-09-30,1420.03
2025-10-09,1412.82
2025-10-10,1406.04
2025-10-13,1395.24
2025-10-14,1427.06
2025-10-15,1438.04
2025-10-16,1460.95
2025-10-17,1431.04
2025-10-20,1433.97
2025-10-21,1438.3
2025-10-22,1434.74
2025-10-23,1444.02
2025-10-24,1426.04
2025-10-27,1416.45
2025-10-28,1421.04
2025-10-29,1407.94
2025-10-30,1402.78
2025-10-31,1406.05
2025-11-03,1411.04
2025-11-04,1405.04
2025-11-05,1396.12
2025-11-06,1411.17
2025-11-07,1409.37
2025-11-10,1438.34
2025-11-11,1435.03
2025-11-12,1441.19
2025-11-13,1446.42
2025-11-14,1432.64
2025-11-17,1447.04
2025-11-18,1452.04
2025-11-19,1447.05
2025-11-20,1443.15
2025-11-21,1442.64
2025-11-24,1428.04
2025-11-25,1420.69
2025-11-26,1425.19
2025-11-27,1423.34
2025-11-28,1426.54
2025-12-01,1424.04
2025-12-02,1412.07
2025-12-03,1405.14
2025-12-04,1400.02
2025-12-05,1406.05
2025-12-08,1394.26
2025-12-09,1377.05
2025-12-10,1378.84
2025-12-11,1388.03
2025-12-12,1396.69
2025-12-15,1402.04
2025-12-16,1398.04
2025-12-17,1409.14
2025-12-18,1407.04
2025-12-19,1410.0
2025-12-22,1408.26
2025-12-23,1407.86
2025-12-24,1400.9
2025-12-25,1414.17
2025-12-26,1414.13
2025-12-29,1402.0
2025-12-30,1389.72
2025-12-31,1377.18
2026-01-05,1426.0
2026-01-06,1428.01
2026-01-07,1423.36
2026-01-08,1412.3
2026-01-09,1419.1
2026-01-12,1423.23
2026-01-13,1411.0
2026-01-14,1398.01
2026-01-15,1388.89
2026-01-16,1382.0
2026-01-19,1376.0
2026-01-20,1373.55
2026-01-21,1351.06
2026-01-22,1340.06
2026-01-23,1337.0
2026-01-26,1342.0
2026-01-27,1343.01
2026-01-28,1323.69
2026-01-29,1437.72
2026-01-30,1401.0
2026-02-02,1427.0
2026-02-03,1474.92
2026-02-04,1525.0
2026-02-05,1555.0
2026-02-06,1515.01
2026-02-09,1524.96
2026-02-10,1504.8
2026-02-11,1504.33
2026-02-12,1486.6
2026-02-13,1485.3
